Country,Population,GDP,GDP Growth,GDP Per Capita,Unemployment,Population Growth Rate,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fertility Rate,Median Age,Urban Pop %,World Share,Age Structure (0-14),Age Structure (15-64),Age Structure (65+),GDP (PPP),GDP Growth Rate,GDP (Official Exchange Rate),Inflation Rate,GDP Composition - Agriculture,GDP Composition - Industry,GDP Composition - Services,Life Expectancy (both),Life Expectancy (female),Life Expectancy (male),Catholic,Protestant,Jewish,Muslim,Hindu,Buddhist,Orthodox,Other/None
Aruba,108066.0,,,,,-0.157952665853709,0.12,127.0,600.0,180.0,141.0,1.6,41.0,44.0,0.0,,,,,,,,,,,76.5,78.92,73.85,0,0,0,0,0,0,0,0
Afghanistan,42647492.0,,,,14.386,2.66562820222961,2.88,1192731.0,65.0,652860.0,-44089.0,4.8,17.0,27.0,0.52,39.6,57.5,2.9,,,14.502,,33.7,16.1,45.0,66.29,67.81,64.7,0,0,0,99.7,0,0,0,0
Angola,37885849.0,84722957642.3757,0.856000934845724,7200.0,14.62,3.03099631037773,3.09,1135943.0,30.0,1246700.0,-2629.0,5.0,17.0,68.0,0.46,46.9,50.7,2.4,265.868,0.86,84.723,13.64,14.9,45.3,39.7,64.81,67.34,62.28,41.1,0,0,0,0,0,0,0
Anguilla,14598.0,,,,,,1.3,188.0,162.0,90.0,109.0,1.4,38.0,,0.0,20.8,67.5,11.7,,,,,3.0,10.5,86.4,,,,73.2,0,0,0,0,0,0,0
Albania,2791765.0,22977677860.7979,3.43914949919611,18100.0,11.584,-1.14841763771287,-0.71,-19890.0,102.0,27400.0,-24472.0,1.3,37.0,69.0,0.03,18.0,66.9,15.1,49.592,3.44,22.978,,18.3,21.2,48.0,79.78,81.59,77.92,56.7,0,0,0,0,0,0,0
Andorra,81938.0,3727673593.01922,1.44418423106947,64500.0,,0.330181899850107,1.34,1082.0,174.0,470.0,988.0,1.1,43.0,83.0,0.0,12.0,67.7,20.4,5.168,1.44,3.728,,0.5,11.4,78.6,,,,8.8,0,0,0,0,0,0,0
United Arab Emirates,11027129.0,504173451327.434,3.40385720609487,52976.8083782405,2.706,0.799054784290549,3.62,385048.0,132.0,83600.0,278439.0,1.2,32.0,82.0,0.14,,,,,,,,,,,83.07,84.32,82.17,0,0,0,0,0,0,0,0
Argentina,45696159.0,640591410663.883,-1.55050153620256,26500.0,6.178,0.903771167435598,0.35,157758.0,17.0,2736690.0,3454.0,1.5,33.0,95.0,0.56,23.3,63.9,12.8,1.235,-1.55,640.591,,6.1,25.1,52.8,77.54,80.02,74.98,62.9,0,0,0,0,0,0,0
Armenia,2973840.0,24212134631.064,8.7,20800.0,8.586,-0.0899173371650819,1.03,30447.0,104.0,28470.0,-29966.0,1.7,36.0,63.0,0.04,17.7,67.0,15.3,57.728,8.7,24.212,1.98,8.4,23.9,59.0,75.85,79.6,71.58,0,0,0,0,0,0,0,95.2
American Samoa,46765.0,,,,,-0.814183458237158,-1.59,-756.0,234.0,200.0,-1110.0,2.3,29.0,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Antigua and Barbuda,93772.0,2033085185.18518,3.86201218730389,28700.0,,0.568965860290507,0.49,456.0,213.0,440.0,9.0,1.6,36.0,28.0,0.0,21.8,67.6,10.5,2.703,3.86,2.033,5.07,1.9,19.4,67.8,77.77,80.45,74.74,68.3,0,0,0,0,0,0,0
Australia,26713205.0,1723827215334.71,3.01698810357014,59500.0,3.667,2.37089971050094,0.99,262081.0,3.0,7682300.0,138510.0,1.6,38.0,86.0,0.33,18.3,64.7,17.0,1.584,3.02,1.724,5.6,2.4,27.4,64.2,84.07,85.85,82.28,20.0,0,0,0,0,0,0,0
Austria,9120813.0,516034144115.95,-0.828815088963225,64600.0,5.243,0.996275813585943,-0.11,-9616.0,111.0,82409.0,8813.0,1.3,43.0,58.0,0.11,14.1,64.7,21.2,590.354,-0.83,516.034,7.81,1.3,26.3,62.3,82.12,84.45,79.75,55.2,0,0,0,0,0,0,0
Azerbaijan,10336577.0,72356176470.5882,1.12397432709641,7155.08360355897,5.636,-0.288343752912047,0.18,18370.0,125.0,82658.0,10864.0,1.7,33.0,58.0,0.13,,,,,,,,,,,74.58,77.29,71.71,0,0,0,0,0,0,0,0
Burundi,14047786.0,2642161668.92754,2.70000059705133,900.0,0.93,2.67147850336685,2.62,358336.0,547.0,25680.0,-27074.0,4.8,16.0,14.0,0.17,42.3,54.4,3.4,11.347,2.7,2.642,26.94,25.2,9.6,48.8,63.82,65.88,61.75,93.9,0,0,0,0,0,0,0
Belgium,11738763.0,632216577075.109,1.36505523054922,63600.0,5.508,1.16366497533437,0.22,25870.0,388.0,30280.0,36243.0,1.4,42.0,99.0,0.14,16.9,62.8,20.2,751.592,1.37,632.217,4.05,0.8,18.4,70.7,82.27,84.45,80.06,57.1,0,0,0,0,0,0,0
Benin,14462724.0,19673284686.0023,6.35282160914288,3800.0,1.452,2.66008514236957,2.49,351690.0,128.0,112760.0,-7725.0,4.5,18.0,47.0,0.18,45.3,52.2,2.5,52.51,6.35,19.673,2.73,25.4,17.3,47.7,60.96,62.42,59.52,27.7,0,0,0,0,0,0,0
