Country,Currency Name,Currency Code,ISO Code,Population 2018,Population 2019,Population 2020,Population 2021,Population 2022,Population 2023,Population 2024,Population 2025,GDP 2018,GDP 2019,GDP 2020,GDP 2021,GDP 2022,GDP 2023,GDP 2024,GDP 2025,GDP Growth 2018,GDP Growth 2019,GDP Growth 2020,GDP Growth 2021,GDP Growth 2022,GDP Growth 2023,GDP Growth 2024,GDP Growth 2025,GDP Per Capita 2018,GDP Per Capita 2019,GDP Per Capita 2020,GDP Per Capita 2021,GDP Per Capita 2022,GDP Per Capita 2023,GDP Per Capita 2024,GDP Per Capita 2025,Unemployment 2018,Unemployment 2019,Unemployment 2020,Unemployment 2021,Unemployment 2022,Unemployment 2023,Unemployment 2024,Unemployment 2025,Population Growth Rate 2018,Population Growth Rate 2019,Population Growth Rate 2020,Population Growth Rate 2021,Population Growth Rate 2022,Population Growth Rate 2023,Population Growth Rate 2024,Population Growth Rate 2025,Defense Expenditure (% of GDP) 2018,Defense Expenditure (% of GDP) 2019,Defense Expenditure (% of GDP) 2020,Defense Expenditure (% of GDP) 2021,Defense Expenditure (% of GDP) 2022,Defense Expenditure (% of GDP) 2023,Defense Expenditure (% of GDP) 2024,Defense Expenditure (% of GDP) 2025,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fertility Rate,Median Age,Urban Pop %,World Share,Age Structure (0-14),Age Structure (15-64),Age Structure (65+),GDP (PPP),GDP (Official Exchange Rate),Inflation Rate,GDP Composition - Agriculture,GDP Composition - Industry,GDP Composition - Services,Life Expectancy (both),Life Expectancy (female),Life Expectancy (male),Religion 1,Religion 2,Religion 3,Religion 4,Religion 5,Religion 1 Percentage,Religion 2 Percentage,Religion 3 Percentage,Religion 4 Percentage,Religion 5 Percentage
Aruba,Aruban florin,ƒ,AWG,108908,109203,108587,107700,107310,107359,,,3276184357.5419,3395798882.68156,2481857122.8401,2929446578.25104,3279343543.60416,3648573136.15155,,,2.39708527621045,-2.23244039160568,-26.2118207828803,24.1326273569798,8.51791810517545,4.26371941452948,,,30082.1276448186,31096.2050738676,22855.9323200761,27200.0610793969,30559.5335346581,33984.7906198041,,,,,,,,,,,0.158975971141518,0.270504632854835,-0.565684046703506,-0.82021108315363,-0.362774222330685,0.0456516784920034,,,,,,,,,,,0.12,127.0,600.0,180.0,141.0,1.6,41.0,44.0,0.0,,,,,,,,,,76.5,78.92,73.85,,,,,,,,,,
Afghanistan,Afghan afghani,؋‎,AFN,36743039,37856121,39068979,40000412,40578842,41454761,,,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17233051620.1117,,,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,2.71088679128353,,,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,415.707417059086,,,11.196,11.185,11.71,11.994,14.1,13.991,,,2.91080959861384,2.98438913621969,3.15360920291972,2.35609779179185,1.43570437048699,2.13559384981397,,,1.00674585570556,1.17096838242129,1.35885692738929,1.827933856217,,,,,2.88,1192731.0,65.0,652860.0,-44089.0,4.8,17.0,27.0,0.52,39.6,57.5,2.9,82.595,17.233,,34.5,13.5,46.5,66.29,67.81,64.7,Muslim,,,,,99.7,,,,
Angola,Angolan kwanza,Kz,AOA,31297155,32375632,33451132,34532429,35635029,36749906,,,79450688259.3664,70897962732.0277,48501561203.5686,66505129987.7235,104399746853.401,84824654481.7249,,,-1.31636168896895,-0.702272957616017,-5.63821471714934,1.19921052145153,3.04472652391918,1.00128936028298,,,2538.59139143371,2189.85571407618,1449.92286669308,1925.87466082167,2929.69445467272,2308.15976731274,,,16.594,16.497,16.69,15.799,14.602,14.537,,,3.45323300897802,3.38788422184303,3.26795864914978,3.18132259995095,3.14302612044601,3.08065530722915,,,1.95578680987962,1.73907233864521,1.73699395811082,1.30099992786185,1.31681953222365,1.33252915998752,,,3.09,1135943.0,30.0,1246700.0,-2629.0,5.0,17.0,68.0,0.46,46.9,50.7,2.4,266.249,84.825,13.64,14.9,45.3,39.8,64.81,67.34,62.28,Catholic,,,,,41.1,,,,
Albania,Albanian lek,L,ALL,2866376,2854191,2837849,2811666,2777689,2745972,,,15379509891.7196,15585105131.0644,15241458744.8688,18032010563.7558,19017242585.7803,23547179830.4413,,,4.01934561695576,2.06256753999989,-3.31371614712083,8.96955339178935,4.82668831434437,3.93662525742167,,,5365.48934672897,5460.42823730592,5370.77862312929,6413.28328605026,6846.42614266044,8575.17113446213,,,12.304,11.466,11.69,11.474,10.137,10.108,,,-0.246732042281782,-0.426007367032238,-0.574206959244013,-0.926918061639398,-1.21579032012532,-1.14841763771287,,,1.16054478505068,1.28080596201472,1.29583570269739,1.24298808396067,1.21098343566728,1.74399167669186,,,-0.71,-19890.0,102.0,27400.0,-24472.0,1.3,37.0,69.0,0.03,18.0,66.9,15.1,50.098,23.547,4.76,16.2,23.0,48.0,79.78,81.59,77.92,Catholic,,,,,56.7,,,,
Andorra,Euro,€,EUR,75162,76474,77380,78364,79705,80856,,,3218419896.9641,3155149347.80639,2891001149.3611,3324647529.381,3380612573.32922,3785067331.7625,,,1.58876549046354,2.01554763848308,-11.1839399355384,8.28677879049404,9.56461225648184,2.58355480961319,,,42819.7745797624,41257.8045846483,37361.0900666982,42425.6996756291,42414.0590092117,46812.4484486309,,,,,,,,,,,1.87885332176802,1.73050296926809,1.17775354895761,1.26362889534188,1.69676808598242,1.43374756867515,,,,,,,,,,,1.34,1082.0,174.0,470.0,988.0,1.1,43.0,83.0,0.0,12.0,67.7,20.4,5.226,3.785,,0.5,12.4,78.3,,,,Catholic,,,,,8.8,,,,
United Arab Emirates,United Arab Emirates dirham,Dh or Dhs (pl.),AED,9346701,9445785,9401038,9575152,10074977,10483751,,,427049432149.345,417989721734.494,349473015336.939,415178792769.884,502731935197.487,514130432653.081,,,1.31391388141118,1.10834813893099,-4.95705243652739,4.35475529921305,7.50969703221836,3.61870653547174,,,45689.8570040215,44251.4541390148,37173.8754100281,43360.0211014806,49899.0652978649,49040.6947525825,,,2.236,2.331,4.294,3.105,2.872,2.151,,,1.32986873264335,1.0545163442516,-0.474850154644905,1.83513009029147,5.08834153373914,3.97717097504667,,,,,,,,,,,3.62,385048.0,132.0,83600.0,278439.0,1.2,32.0,82.0,0.14,,,,,,,,,,83.07,84.32,82.17,,,,,,,,,,
Argentina,Argentine peso,$,ARS,44654882,44973465,45191965,45312281,45407904,45538401,,,524819892360.176,447754683615.225,385740508436.965,486564085480.036,632790070063.124,646075277525.125,,,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.4418119882506,5.26987967384072,-1.61100162090189,,,11752.7998922979,9955.97478680428,8535.59938004389,10738.0179223384,13935.6811110049,14187.4827252965,,,9.22,9.843,11.461,8.736,6.805,6.139,,,0.822969480473088,0.710900853077743,0.484665636741261,0.265879395046274,0.210808731072658,0.286976121920089,,,0.732300347538541,0.699696134379197,0.734111593948744,0.630055381810861,0.686383404283536,0.472747196738259,,,0.35,157758.0,17.0,2736690.0,3454.0,1.5,33.0,95.0,0.56,23.3,63.9,12.8,1.234,646.075,,5.9,25.1,53.1,77.54,80.02,74.98,Catholic,,,,,62.9,,,,
Armenia,Armenian dram,֏,AMD,2969000,2962500,2961500,2962300,2969200,2990900,,,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,24085749592.3359,,,5.19999999965324,7.59999999853918,-7.19999999920631,5.80000000065645,12.5999999997766,8.29999999959539,,,4196.00562301769,4597.22887399548,4268.68093304583,4685.17997128509,6571.97445545099,8053.01066312345,,,18.966,18.304,18.175,15.469,13.379,13.245,,,-0.349674218173286,-0.219168932037313,-0.0337609726366775,0.0270096898904032,0.2326562627468,0.728178919340382,,,4.11988615256896,4.78770584078564,4.98254372367497,4.46514475903396,4.08174595925594,5.45092500345977,,,1.03,30447.0,104.0,28470.0,-29966.0,1.7,36.0,63.0,0.04,17.7,67.0,15.3,57.516,24.086,1.98,8.5,23.4,59.4,75.85,79.6,71.58,Other/None,,,,,95.2,,,,
American Samoa,N/A,N/A,N/A,50908,50209,49761,49225,48342,47521,,,639000000,647000000,721000000,750000000,871000000,,,,2.6711185308848,-0.487804878048777,4.41176470588236,-0.782472613458523,1.73501577287065,,,,12552.0546868861,12886.1359517218,14489.2586563775,15236.1604875571,18017.4589383973,,,,,,,,,,,,-1.32302357149178,-1.38257886328442,-0.896274880494128,-1.0829920166826,-1.81008765020754,-1.71290294190977,,,,,,,,,,,-1.59,-756.0,234.0,200.0,-1110.0,2.3,29.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Eastern Caribbean dollar,EC$,XCD,90926,91364,91846,92349,92840,93316,,,1661529629.62963,1725351851.85185,1410796296.2963,1601366666.66667,1867733333.33333,2033085185.18518,,,6.95318609219737,3.10044514982847,-18.8803992026325,8.1917184618173,9.51639564359461,3.86201218730389,,,18273.4270684912,18884.3729680383,15360.4544160475,17340.3790692554,20117.7653310355,21787.1017315914,,,,,,,,,,,0.504979187034594,0.480553889847623,0.526173366134419,0.546161676855974,0.530270318994476,0.511400156215609,,,,,,,,,,,0.49,456.0,213.0,440.0,9.0,1.6,36.0,28.0,0.0,21.8,67.6,10.5,2.703,2.033,5.07,1.9,19.4,67.8,77.77,80.45,74.74,Catholic,,,,,68.3,,,,
