Country,gas_reserves,gas_production,oil_reserves,total_manpower,active_military,aircraft,foreign_reserves,external_debt
Afghanistan,4.9554e+16,80200000000000,0,15647405,0,9,,
Albania,5692000000000000.0,50623000000000,150000000,1522479,6600,19,,
Algeria,4.504e+18,100726000000000000,12200000000,22570787,325000,608,,
Angola,3.43002e+17,5514000000000000,7783000000,7440412,107000,298,,
Argentina,3.96464e+17,43280000000000000,2483000000,20677529,108000,239,,
Armenia,0.0,0,0,1666988,57500,71,,
Australia,3.228e+18,153783000000000000,2446000000,11242811,57350,327,,
Austria,5040000000000000.0,618209000000000,35200000,4035592,16000,85,,
Azerbaijan,1.699e+18,34175000000000000,7000000000,5218617,126400,154,,
Bahrain,8.1382e+16,18005000000000000,186500000,846120,18400,132,,
Bangladesh,1.26293e+17,24620000000000000,28000000,82661620,163000,214,,
Belarus,2832000000000000.0,73929000000000,198000000,5035769,63000,185,,
Belgium,0.0,13436000000000,0,4910830,25000,108,,
Beliz,0.0,0,6700000,158000,1650,3,,
Benin,1133000000000000.0,0,8000000,5584880,4750,5,,
Bhutan,0.0,0,0,203446,7500,2,,
Bolivia,3.0299e+17,13760000000000000,240900000,5417269,40000,64,,
Bosnia and Herzegovina,0.0,0,0,2355176,12770,22,,
Botswana,0.0,0,0,1029281,21000,45,,
Brazil,3.63985e+17,22670000000000000,12715000000,112226271,360000,513,,
Bulgaria,5663000000000000.0,20837000000000,15000000,3187850,37000,65,,
Burkina Faso,0.0,0,0,8525614,12000,25,,
Cambodia,0.0,0,0,8190561,221000,25,,
Cameroon,1.35071e+17,2595000000000000,200000000,10528476,40000,35,,
Canada,2.067126e+18,187686000000000000,170300000000,16681770,68000,351,,
Central African Republic,0.0,0,0,2203873,10000,6,,
Chad,0.0,0,1500000000,6873694,33250,40,,
Chile,9.7976e+16,1200000000000000,150000000,8959033,80000,277,,
China,6.654e+18,225341000000000000,26023000000,764123366,2035000,3309,,
Colombia,8.7782e+16,11290000000000000,2036000000,24298295,293200,436,,
Croatia,2.4919e+16,741456000000000,71000000,2033557,14325,67,,
Cuba,7.0792e+16,659434000000000,124000000,5921661,45500,31,,
Czechia,3964000000000000.0,224725000000000,15000000,5093808,28000,99,,
Democratic Republic of the Congo,991090000000000.0,380000000000,180000000,39237029,166580,46,,
Denmark,2.9534e+16,1879000000000000,441000000,2628180,20000,117,,
Dominican Republic,0.0,0,0,4975294,50000,79,,
Ecuador,1.0902e+16,309778000000000,8273000000,8422593,41250,102,,
Egypt,1.784e+18,64817000000000000,3300000000,45611372,440000,1093,,
El Salvador,0.0,0,0,3181777,25000,52,,
Eritrea,0.0,0,0,2220385,120000,20,,
Estonia,0.0,0,0,584958,7700,5,,
Ethiopia,2.4919e+16,0,428000,56904143,162000,103,,
Finland,0.0,0,0,2306830,24000,163,,
France,7787000000000000.0,20132000000000,61719000,30084820,200000,976,,
Gabon,2.5995e+16,463000000000000,2000000000,932940,4800,24,,
Georgia,8495000000000000.0,8760000000000,35000000,2744538,55000,61,,
Germany,2.339e+16,4824000000000000,115200000,38694786,181600,584,,
Ghana,2.2653e+16,3192000000000000,660000000,14873310,15500,19,,
Greece,991090000000000.0,3284000000000,10000000,4916713,142700,558,,
Guatemala,0.0,3276000000000,86110000,7484639,106114,36,,
Honduras,0.0,0,0,4192843,52225,40,,
Hungary,3738000000000000.0,1523000000000000,12100000,4632200,41600,69,,
Iceland,0.0,0,0,83728,0,0,,
India,1.381e+18,33170000000000000,4605000000,662290299,1455550,2229,,
Indonesia,1.408e+18,57410000000000000,2480000000,137965608,400000,459,,
Iran,3.3987e+19,263280000000000000,208600000000,49496685,610000,551,,
Iraq,3.729e+18,9860000000000000,145019000000,17675043,193000,391,,
Ireland,9911000000000000.0,1447000000000000,0,2407392,7765,22,,
Israel,1.76018e+17,22886000000000000,12730000,3949099,170000,611,,
Italy,4.575e+16,3117000000000000,497934000,27434219,165500,729,,
Ivory Coast,2.8317e+16,2635000000000000,100000000,12292521,22000,19,,
Japan,2.0898e+16,2220000000000000,44115000,52976836,247150,1443,,
Jordan,6031000000000000.0,187262000000000,1000000,3463947,100500,274,,
Kazakhstan,2.407e+18,27011000000000000,30000000000,9117003,110000,198,,
Kenya,0.0,0,0,21551160,50000,156,,
Kosovo,0.0,0,0,917371,10000,0,,
Kuwait,1.784e+18,19285000000000000,101500000000,1726095,72000,128,,
Kyrgyzstan,5663000000000000.0,31026000000000,40000000,3147772,23000,7,,
Laos,0.0,0,0,3499565,100000,33,,
Latvia,0.0,0,0,810561,17250,7,,
Lebanon,0.0,0,0,2092148,60000,80,,
Liberia,0.0,0,0,2392390,1500,0,,
Libya,1.505e+18,11832000000000000,48363000000,3827857,32000,143,,
Lithuania,0.0,0,12000000,1708321,23000,9,,
Luxembourg,0.0,0,0,154388,1000,1,,
Madagascar,0.0,0,0,11192031,13500,5,,
Malaysia,1.189e+18,75456000000000000,3600000000,16245461,113000,135,,
Mali,0.0,0,0,6817088,40000,43,,
Mauritania,2.8317e+16,0,20000000,1687936,31540,24,,
Mexico,1.80322e+17,31422000000000000,5786000000,61447766,412000,433,,
Moldova,0.0,10000000000,0,2159717,8500,3,,
Mongolia,0.0,0,0,1870555,35000,7,,
Montenegro,0.0,0,0,143964,2350,11,,
Morocco,1444000000000000.0,82595000000000,684000,17946041,195800,260,,
Mozambique,2.832e+18,5388000000000000,0,14674420,11200,22,,
Myanmar,6.37129e+17,16780000000000000,139000000,30489384,150000,317,,
Namibia,6.2297e+16,0,0,616805,13000,34,,
Nepal,0.0,0,0,15249970,95000,15,,
Netherlands,1.32608e+17,17774000000000000,137747000,7997570,41380,120,,
New Zealand,3.1149e+16,3770000000000000,40993000,2219321,8670,48,,
Nicaragua,0.0,0,0,3271705,45000,17,,
Niger,0.0,29509000000000,150000000,7902835,25000,26,,
Nigeria,5.761e+18,39951000000000000,36890000000,125475979,230000,163,,
North Korea,0.0,0,0,9467520,1320000,861,,
North Macedonia,0.0,0,0,948216,9000,20,,
Norway,1.544455e+18,123727000000000000,8122200000,2203893,23250,97,,
Oman,6.51287e+17,40754000000000000,5375000000,1482757,42600,128,,
Pakistan,5.92219e+17,36937000000000000,540000000,108516336,654000,1399,,
Panama,0.0,0,0,2011608,0,38,,
Paraguay,0.0,0,0,3535598,15650,39,,
Peru,3.00159e+17,12270000000000000,858890000,15648120,120000,256,,
Philippines,9.8543e+16,2251000000000000,138500000,50859137,150000,202,,
Poland,9.1492e+16,5551000000000000,113000000,18985692,202100,479,,
Portugal,7.2e+16,0,22440000,5319863,24000,115,,
Qatar,2.3861e+19,169595000000000000,25244000,638022,66550,251,,
Republic of the Congo,2.8399e+17,423000000000000,2885000000,2256136,8500,13,,
Romania,1.0548e+17,9501000000000000,600000000,9437041,81300,140,,
Russia,4.7805e+19,617830000000000000,80000000000,69002197,1320000,4292,,
Saudi Arabia,9.423e+18,121870000000000000,258600000000,19003104,257000,917,,
Senegal,0.0,54646000000000,0,7162057,17000,40,,
Serbia,4.8139e+16,353376000000000,77500000,3259584,25000,110,,
Sierra Leone,0.0,0,0,2006631,13000,1,,
Singapore,0.0,0,0,3918498,51000,230,,
Slovakia,1.4158e+16,52556000000000,9000000,2837461,19500,41,,
