Country,total_population,available_manpower,fit_for_service,reaching_military_age,active_service,active_reserves,paramilitary,aircraft_total,fighters_interceptors,attack_strike,transports_fixed_wing,trainer_fleets,special_mission,tanker_fleets,helicopter_fleets,attack_helicopters,tank_strengths,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,naval_fleet_strength,fleet_tonnage_strength,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budgets,external_debt,purchasing_power_parity,foreign_exchange_reserves,airports,labor_force_strength,major_ports_terminals,merchant_marine_strength,railway_coverage,roadway_coverage,oil_production,oil_consumption,proven_oil_reserves,natural_gas_production,natural_gas_consumption,proven_natural_gas_reserves,coal_production,coal_consumption,proven_coal_reserves,air_force_personnel,army_personnel,navy_personnel,total_military_personnel,yearly_mobilization_potential
Afghanistan,40121552.0,15647405.0,8826741.0,842553.0,0.0,0.0,80000.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,5202.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290000000.0,1142500000.0,54772700000.0,,67.0,8921000.0,0.0,0.0,0.0,34903.0,0.0,2700.0,0.0,80200000.0,80200000.0,49554000000.0,4885000.0,1545000.0,66000000.0,0.0,0.0,0.0,80000.0,831916.0
Albania,3107100.0,1522479.0,1292554.0,62142.0,6600.0,2000.0,500.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,46.0,1796.0,0.0,50.0,135.0,19.0,,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,558862420.0,7312000000.0,49592000000.0,,3.0,1388000.0,3.0,67.0,424.0,3945.0,1400.0,2600.0,150000000.0,50623000.0,50623000.0,5692000000.0,379000.0,389000.0,522000000.0,660.0,2335.0,1000.0,9100.0,61357.0
Algeria,47022473.0,22570787.0,19185169.0,752360.0,325000.0,135000.0,150000.0,608.0,102.0,42.0,63.0,87.0,10.0,5.0,299.0,74.0,1485.0,26000.0,224.0,483.0,266.0,110.0,82880.0,0.0,0.0,6.0,0.0,8.0,8.0,75.0,2.0,25000000000.0,3335624000.0,699947000000.0,,85.0,13425000.0,17.0,119.0,4020.0,104000.0,1443000.0,428000.0,12200000000.0,100726000000.0,47963000000.0,4504000000000.0,0.0,167000.0,233000000.0,14000.0,182500.0,6000.0,610000.0,742862.0
Angola,37202061.0,7440412.0,3720206.0,372021.0,107000.0,0.0,10000.0,298.0,71.0,12.0,31.0,66.0,2.0,0.0,116.0,15.0,309.0,5500.0,25.0,575.0,113.0,31.0,,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1101360000.0,45774500000.0,265868000000.0,,106.0,15223000.0,21.0,64.0,2761.0,26000.0,1175000.0,127000.0,7783000000.0,5514000000.0,1397000000.0,343002000000.0,0.0,0.0,0.0,6000.0,100000.0,1000.0,117000.0,367324.0
Argentina,46994384.0,20677529.0,17575900.0,704916.0,108000.0,0.0,20000.0,239.0,23.0,11.0,52.0,71.0,13.0,2.0,94.0,0.0,342.0,21724.0,55.0,172.0,26.0,44.0,122128.0,0.0,0.0,2.0,3.0,0.0,6.0,13.0,0.0,928897000.0,178940000000.0,1235000000000.0,,756.0,21906000.0,37.0,201.0,17866.0,281290.0,807000.0,706000.0,2483000000.0,43280000000.0,46228000000.0,396464000000.0,1318000.0,3391000.0,799999000.0,14000.0,70500.0,18350.0,128000.0,696017.0
Armenia,2976765.0,1666988.0,1366335.0,44651.0,57500.0,210000.0,5000.0,71.0,4.0,15.0,3.0,13.0,0.0,0.0,36.0,20.0,109.0,1306.0,145.0,148.0,100.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700000000.0,9014000000.0,57728000000.0,,11.0,1356000.0,0.0,0.0,686.0,7700.0,0.0,14000.0,0.0,0.0,2861000000.0,0.0,60.0,23000.0,317000000.0,5000.0,65000.0,0.0,272500.0,44087.0
Australia,26768598.0,11242811.0,9208398.0,294455.0,57350.0,32050.0,0.0,327.0,24.0,62.0,38.0,98.0,30.0,6.0,69.0,22.0,59.0,15648.0,0.0,48.0,0.0,44.0,185648.0,0.0,2.0,6.0,3.0,7.0,0.0,10.0,3.0,55700000000.0,3427504300000.0,1584000000000.0,,2180.0,14501000.0,66.0,604.0,36064.0,873573.0,386000.0,1123000.0,2446000000.0,153783000000.0,50188000000.0,3228000000000.0,465865000.0,107624000.0,150227000000.0,20000.0,50000.0,20000.0,89400.0,290738.0
Austria,8967982.0,4035592.0,3632033.0,98648.0,16000.0,125600.0,0.0,85.0,15.0,0.0,11.0,18.0,0.0,0.0,41.0,0.0,56.0,7322.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5475750000.0,630000000000.0,590354000000.0,,61.0,4825000.0,0.0,1.0,6123.0,137039.0,18000.0,245000.0,35200000.0,618209000.0,8136000000.0,5040000000.0,1271000.0,5026000.0,0.0,4300.0,31250.0,0.0,141600.0,97403.0
Azerbaijan,10650239.0,5218617.0,3908638.0,159754.0,126400.0,300000.0,15000.0,154.0,12.0,18.0,3.0,35.0,0.0,0.0,86.0,16.0,497.0,7642.0,198.0,650.0,268.0,38.0,,0.0,0.0,4.0,0.0,0.0,0.0,17.0,4.0,5000000000.0,16159500000.0,215896000000.0,,32.0,5473000.0,0.0,312.0,2944.0,24981.0,618000.0,105000.0,7000000000.0,34175000000.0,11759000000.0,1699000000000.0,0.0,60000.0,0.0,12000.0,55000.0,2200.0,441400.0,157737.0
Bahrain,1566888.0,846120.0,720768.0,17236.0,18400.0,110000.0,1500.0,132.0,24.0,0.0,3.0,40.0,0.0,0.0,80.0,34.0,150.0,2764.0,38.0,26.0,17.0,64.0,,0.0,0.0,0.0,0.0,2.0,2.0,50.0,0.0,1597200000.0,49500000000.0,85491000000.0,,3.0,855000.0,4.0,184.0,0.0,4122.0,189000.0,72000.0,186500000.0,18005000000.0,17924000000.0,81382000000.0,0.0,0.0,0.0,1500.0,200000.0,1770.0,129900.0,17018.0
Bangladesh,168697184.0,82661620.0,66129296.0,3205246.0,163000.0,0.0,6800000.0,214.0,42.0,0.0,17.0,86.0,4.0,0.0,65.0,0.0,320.0,11584.0,56.0,546.0,110.0,118.0,75280.0,0.0,0.0,2.0,0.0,7.0,6.0,61.0,5.0,4374000000.0,51965000000.0,1413000000000.0,,17.0,74914000.0,2.0,558.0,2460.0,369105.0,13000.0,160000.0,28000000.0,24620000000.0,30384000000.0,126293000000.0,754000.0,7514000.0,3260000000.0,17400.0,160000.0,25100.0,6963000.0,3164782.0
